"SID"	"count"	"gene"	"n"	"pvalue"	"qvalue"
"1:3817649-3818070"	422	"C1orf174"	0	NA	NA
"1:4712104-4714790"	2687	"AJAP1"	3	0.944534734456837	1
"1:6052531-6055530"	3000	"NPHP4"	1	0.91581308540798	1
"1:6240183-6243182"	2924	"CHD5"	1	0.782117053285801	1
"1:6259672-6263233"	3053	"RPL22"	1	0.776556108565952	1
"1:6263235-6266234"	2947	"RNF207"	0	0.936758363086349	1
"1:6296000-6298999"	3000	"ICMT"	3	0.300726360912542	1
"1:6301251-6304250"	3000	"HES3"	4	0.137303924252799	1
"1:6321035-6324034"	3000	"GPR153"	2	0.513690647091152	1
"1:6445873-6448872"	3000	"ACOT7"	2	0.767568976938603	1
"1:6479979-6482978"	3000	"HES2"	0	0.937992310875341	1
"1:6482979-6484846"	1868	"ESPN"	4	0.0930398673293585	1
"1:6526255-6529254"	2971	"TNFRSF25"	2	0.512694016749403	1
"1:6614601-6615239"	639	"NOL9"	0	0.450820436788391	1
"1:6639817-6640106"	290	"ZBTB48"	0	0.238902036246604	1
"1:6662929-6665928"	3000	"KLHL21"	2	0.53034351163844	1
"1:6670755-6673743"	2989	"PHF13"	3	0.302368050751391	1
"1:6761984-6764965"	2982	"DNAJC11"	5	0.0597856309087521	1
"1:6842383-6845576"	3193	"CAMTA1"	2	0.757291563356514	1
"1:7828328-7832326"	3918	"VAMP3"	2	0.866602686728368	1
"1:7841713-7844712"	3000	"PER3"	0	0.978047806222609	1
"1:7913095-7916564"	3470	"UTS2"	3	0.811869204528958	1
"1:8001519-8003925"	1948	"TNFRSF9"	1	0.703862904019723	1
"1:8018722-8021721"	3000	"PARK7"	2	0.624438055998906	1
"1:8086356-8089367"	3012	"ERRFI1"	3	0.34974395080382	1
"1:8877702-8880698"	2997	"RERE"	2	0.601847141737238	1
"1:8938749-8941748"	3000	"ENO1"	3	0.289294281165601	1
"1:9002941-9005909"	2968	"CA6"	2	0.504228062174901	1
"1:9086438-9089403"	2966	"SLC2A7"	0	0.932378802575631	1
"1:9129775-9132774"	3000	"SLC2A5"	1	0.762758253734	1
"1:9189229-9192228"	3000	"GPR157"	0	0.940151169758448	1
"1:9291833-9294832"	3000	"H6PD"	0	0.939628836554012	1
"1:9349940-9352937"	2998	"SPSB1"	4	0.161764367563164	1
"1:9596540-9599539"	3000	"SLC25A33"	3	0.313854305082031	1
"1:9645979-9648953"	2975	"TMEM201"	3	0.332942167355819	1
"1:9708789-9711801"	3012	"PIK3CD"	2	0.54622478568669	1
"1:9884584-9887549"	2966	"CLSTN1"	4	0.290828479903032	1
"1:9970394-9973315"	2922	"CTNNBIP1"	1	0.747918379591563	1
"1:10003465-10003484"	20	"NMNAT1"	0	0.0185084913458207	1
"1:10054273-10057272"	3000	"RBP7"	0	0.940831965023323	1
"1:10090040-10092888"	2849	"UBE4B"	3	0.490197632305022	1
"1:10267862-10270861"	3000	"KIF1B"	6	0.0562576792874998	1
"1:10456125-10459135"	3010	"PGD"	2	0.580972946025305	1
"1:10487158-10490157"	3000	"APITD1-CORT"	0	NA	NA
"1:10532583-10534942"	2360	"DFFA"	1	0.708564680066645	1
"1:10856705-10859706"	3002	"CASZ1"	0	0.970815772557058	1
"1:11069698-11072697"	3000	"TARDBP"	2	0.53689503068516	1
"1:11107280-11110289"	3010	"MASP2"	1	0.786487145512613	1
"1:11120081-11123080"	3000	"SRM"	3	0.337302955032275	1
"1:11160002-11162937"	2936	"EXOSC10"	0	0.953409496070789	1
"1:11322564-11325563"	3000	"MTOR"	2	0.671014567058245	1
"1:11330262-11333261"	3000	"UBIAD1"	1	0.8823292834652	1
"1:11536294-11539293"	3000	"PTCHD2"	3	NA	NA
"1:11714739-11714956"	218	"FBXO44"	0	0.225278580785979	1
"1:11723383-11724179"	797	"FBXO6"	1	0.19997649818837	1
"1:11751707-11751784"	78	"DRAXIN"	0	0.0717759660885152	1
"1:11793141-11796210"	3069	"AGTRAP"	1	0.799437989241899	1
"1:11821513-11821842"	330	"C1orf167"	0	0.296380132912319	1
"1:11863267-11866266"	3000	"CLCN6"	4	0.293170877189578	1
"1:11907840-11910839"	3000	"NPPA"	4	0.144606135781801	1
"1:11918988-11921987"	3000	"NPPB"	2	0.525452746403295	1
"1:11986480-11989484"	3005	"KIAA2013"	1	0.765632457530014	1
"1:11991809-11994808"	3000	"PLOD1"	4	0.140348569352699	1
"1:12037368-12040367"	3000	"MFN2"	2	0.526112180399755	1
"1:12120433-12123432"	3000	"TNFRSF8"	3	0.300922504309602	1
"1:12224059-12226973"	2915	"TNFRSF1B"	3	0.285722945738384	1
"1:12287123-12290122"	3000	"VPS13D"	1	0.797450059406461	1
"1:12677737-12680736"	3000	"DHRS3"	3	0.367495804180335	1
"1:12701565-12704564"	3000	"AADACL4"	6	0.116132648885125	1
"1:12773117-12776144"	3027	"AADACL3"	1	0.860336055332555	1
"1:12908578-12911236"	2659	"HNRNPCL1"	17	9.98322492490599e-06	0.141921525532463
"1:13035492-13035541"	50	"PRAMEF22"	0	NA	NA
"1:13219581-13219663"	83	"PRAMEF26"	0	NA	NA
"1:13477522-13477536"	15	"PRAMEF18"	0	NA	NA
"1:13521922-13521971"	50	"PRAMEF21"	0	NA	NA
"1:13698151-13698372"	222	"PRAMEF19"	0	0.186707037358761	1
"1:13742761-13742806"	46	"PRAMEF20"	0	NA	NA
"1:13840543-13843241"	2699	"LRRC38"	4	0.447724002681912	1
"1:13907251-13910586"	3281	"PDPN"	0	0.99805589680839	1
"1:14028349-14031348"	3000	"PRDM2"	0	0.994316757048449	1
"1:14922212-14925198"	2987	"KAZN"	5	0.266924753729857	1
"1:15477228-15479026"	1799	"TMEM51"	3	0.22681785318547	1
"1:15572644-15578279"	740	"FHAD1"	0	0.551055235646543	1
"1:15733390-15736389"	3000	"EFHD2"	2	0.537871099707741	1
"1:15761937-15764933"	2997	"CTRC"	0	0.942585882713586	1
"1:15780223-15783222"	3000	"CELA2A"	5	0.143427139973702	1
"1:15799595-15802594"	3000	"CELA2B"	1	0.765871512978317	1
"1:15850790-15853306"	2517	"DNAJC16"	2	0.402931565805474	1
"1:15911605-15914604"	3000	"AGMAT"	1	0.760275135041322	1
"1:15940994-15943993"	3000	"DDI2"	3	0.524356387658948	1
"1:16007826-16010825"	3000	"PLEKHM2"	5	0.054864366423934	1
"1:16061264-16062898"	1635	"SLC25A34"	0	0.776042797941254	1
"1:16067891-16068915"	1025	"TMEM82"	0	0.6084844093916	1
"1:16082254-16083152"	899	"FBLIM1"	0	0.562181222859249	1
"1:16171358-16174357"	3000	"SPEN"	0	0.936220943512872	1
"1:16302741-16305626"	2886	"ZBTB17"	1	0.733386201025572	1
"1:16346089-16349088"	3000	"HSPB7"	7	0.0190892857853714	1
"1:16401815-16401931"	117	"FAM131C"	0	0.102145329006544	1
"1:16482582-16485581"	3000	"EPHA2"	3	0.306436037110389	1
"1:16539104-16542103"	3000	"ARHGEF19"	2	0.527212255251743	1
"1:16563657-16566656"	3000	"RSG1"	2	NA	NA
"1:16763919-16764164"	246	"SPATA21"	0	0.205243463162558	1
"1:16764166-16767214"	3048	"NECAP2"	3	0.309528731779247	1
"1:16862560-16865559"	397	"AL355149.2"	3	0.00628595617412787	1
"1:16939982-16942981"	3000	"NBPF1"	17	2.68776470715847e-05	0.381501322534073
"1:16999356-16999496"	141	"AL137798.1"	0	0.132192767381251	1
"1:17060956-17061097"	142	"AL021920.2"	0	0.133065037306788	1
"1:17245444-17248443"	3000	"CROCC"	3	0.307918470302596	1
"1:17306174-17309450"	3277	"MFAP2"	3	0.3512334836256	1
"1:17338267-17341422"	3156	"ATP13A2"	1	0.787403243838657	1
"1:17380665-17383664"	3000	"SDHB"	0	0.939744427621015	1
"1:17445930-17448947"	3018	"PADI2"	0	0.939847504760972	1
"1:17528620-17531619"	3000	"PADI1"	4	0.144586169530572	1
"1:17572592-17575591"	3000	"PADI3"	0	0.935313631551168	1
"1:17631689-17634690"	3001	"PADI4"	2	0.547244036847038	1
"1:17766220-17768709"	2490	"RCC2"	2	0.436304202065372	1
"1:17863329-17907046"	3027	"ARHGEF10L"	1	0.80687120127271	1
"1:18078807-18081806"	3000	"ACTL8"	5	0.161764159741244	1
"1:18431239-18434238"	3000	"IGSF21"	5	0.276136742614214	1
"1:18804423-18807422"	3000	"KLHDC7A"	7	0.154134184029946	1
"1:18954499-18958013"	3514	"PAX7"	4	0.678827657877913	1
"1:19186176-19189154"	2979	"TAS1R2"	3	0.518032238999364	1
"1:19283820-19283996"	177	"IFFO2"	0	0.192592866113027	1
"1:19536783-19539745"	2963	"UBR4"	2	0.660706531512729	1
"1:19575074-19577988"	2891	"MRTO4"	1	0.854203402456235	1
"1:19615744-19618279"	2536	"AKR7A3"	1	0.773733481767244	1
"1:19638648-19638818"	171	"PQLC2"	0	0.174232900362813	1
"1:19812042-19815065"	3024	"CAPZB"	3	0.643406798207475	1
"1:19920472-19920482"	11	"MINOS1-NBL1"	0	0.0104723130312615	1
"1:19920483-19923471"	2989	"MINOS1"	1	0.776385962192713	1
"1:19988779-19991778"	3000	"HTR6"	1	0.777474510601994	1
"1:20126410-20129409"	3000	"TMCO4"	1	0.758340834646559	1
"1:20141771-20144770"	3000	"RNF186"	2	0.535712396139491	1
"1:20250110-20253109"	3000	"PLA2G2E"	4	0.183550977116203	1
"1:20306909-20309931"	3023	"PLA2G2A"	3	0.452978298204131	1
"1:20393700-20396699"	3000	"PLA2G5"	2	0.717574968653356	1
"1:20446050-20449007"	2958	"PLA2G2D"	4	0.328989498320459	1
"1:20462822-20465817"	2996	"PLA2G2F"	2	0.742486814182098	1
"1:20503917-20506081"	893	"PLA2G2C"	0	0.677546884339469	1
"1:20614411-20617410"	3000	"VWA5B1"	6	0.11786583891499	1
"1:20812713-20815712"	3000	"CAMK2N1"	2	0.715625885032171	1
"1:20834654-20837653"	3000	"MUL1"	4	0.502845342258302	1
"1:20912443-20915439"	2997	"CDA"	6	0.0210318186839813	1
"1:20956947-20959946"	3000	"PINK1"	3	0.298887892961408	1
"1:20987884-20990883"	3000	"DDOST"	2	0.519992840754575	1
"1:21044510-21045018"	509	"KIF17"	2	0.0121987211660569	1
"1:21113181-21116180"	3000	"HP1BP3"	1	0.763177777751744	1
"1:21503343-21506342"	3000	"EIF4G3"	2	0.572917173712497	1
"1:21616957-21619765"	2809	"ECE1"	2	0.482619534402279	1
"1:21763630-21766628"	2999	"NBPF3"	0	0.944823197592373	1
"1:21832857-21835863"	3006	"ALPL"	3	0.354066436467128	1
"1:22109484-22112687"	3204	"USP48"	2	0.567586556572068	1
"1:22135757-22138756"	3000	"LDLRAD2"	2	0.532748140617114	1
"1:22263790-22266749"	2960	"HSPG2"	1	0.767690774190683	1
"1:22300513-22303512"	3000	"CELA3B"	14	2.7713465700094e-05	0.393309505215735
"1:22328103-22328147"	45	"CELA3A"	0	0.042232405630953	1
"1:22376119-22379159"	3040	"CDC42"	2	0.543809680094494	1
"1:22469459-22472518"	3060	"WNT4"	2	0.552004994969462	1
"1:22775343-22778358"	3015	"ZBTB40"	4	0.536577969491789	1
"1:22887056-22890055"	3000	"EPHA8"	2	0.748980887815243	1
"1:22960117-22962997"	2881	"C1QA"	1	0.880050867929084	1
"1:22967122-22970121"	3000	"C1QC"	4	0.323086740868023	1
"1:22976681-22979472"	2792	"C1QB"	4	0.273165670713558	1
"1:23034331-23037451"	3119	"EPHB2"	3	0.541952497402418	1
"1:23342343-23345342"	2535	"C1orf234"	1	NA	NA
"1:23345343-23345984"	642	"KDM1A"	1	0.115490454506311	1
"1:23521222-23524221"	3000	"HTR1D"	2	0.529615941397078	1
"1:23670803-23673828"	3026	"HNRNPR"	2	0.501278720657581	1
"1:23693482-23695729"	2018	"C1orf213"	5	NA	NA
"1:23751233-23754232"	3000	"TCEA3"	2	0.512541107159176	1
"1:23810671-23813671"	3001	"ASAP3"	0	0.94027696225648	1
"1:23857712-23860711"	3000	"E2F2"	3	0.308508940572699	1
"1:23886285-23889284"	3000	"ID3"	2	0.534505151935472	1
"1:24015268-24018204"	2937	"RPL11"	2	0.507825103584524	1
"1:24066855-24069892"	3037	"TCEB3"	5	NA	NA
"1:24114722-24117458"	2737	"LYPLA2"	0	0.924344250036726	1
"1:24126892-24128372"	1481	"GALE"	2	0.404000527209833	1
"1:24151949-24154948"	3000	"HMGCL"	2	0.530764431678966	1
"1:24194784-24197013"	2230	"FUCA1"	3	0.611779326286992	1
"1:24239852-24242816"	2965	"CNR2"	2	0.531482674038483	1
"1:24283301-24286300"	3000	"PNRC2"	0	0.940768682049513	1
"1:24306809-24309952"	3144	"SRSF10"	0	0.946801181489402	1
"1:24469614-24472610"	2997	"IL22RA1"	0	0.936995549238001	1
"1:24513761-24516982"	3222	"IFNLR1"	5	0.186472969339614	1
"1:24642811-24645810"	3000	"GRHL3"	2	0.528007145720395	1
"1:24741587-24742282"	692	"STPG1"	0	0.468158359975209	1
"1:24826386-24829385"	3000	"RCAN3"	2	0.640273196778812	1
"1:24879601-24882600"	3000	"NCMAP"	2	0.865231135173584	1
"1:24966593-24969501"	2909	"SRRM1"	1	0.782491548991819	1
"1:25068847-25071846"	3000	"CLIC4"	4	0.303096078244974	1
"1:25292574-25292806"	233	"RUNX3"	0	0.244197152630369	1
"1:25558986-25561992"	3007	"SYF2"	0	0.974561209053954	1
"1:25595980-25597375"	1396	"C1orf63"	1	NA	NA
"1:25597376-25598882"	1507	"RHD"	4	0.0594015420411442	1
"1:25661788-25664406"	2619	"TMEM50A"	2	0.453766207104054	1
"1:25747336-25750335"	3000	"RHCE"	5	0.0524149049943507	1
"1:25754410-25757409"	3000	"TMEM57"	1	NA	NA
"1:25867075-25870069"	2995	"LDLRAP1"	0	0.964224025794805	1
"1:25940958-25943957"	3000	"MAN1C1"	4	0.443440658133119	1
"1:26123666-26126682"	3016	"SEPN1"	6	NA	NA
"1:26137822-26140462"	1525	"RP1-317E23.6"	0	NA	NA
"1:26143469-26146468"	3000	"MTFR1L"	3	0.646582768136211	1
"1:26197744-26200743"	3000	"PAQR7"	2	0.526017060599261	1
"1:26233482-26235992"	2511	"STMN1"	5	0.0258862658729845	1
"1:26324648-26327647"	3000	"PAFAH2"	4	0.135242640767519	1
"1:26345270-26348269"	3000	"EXTL1"	2	0.51794179516731	1
"1:26372624-26375603"	2980	"SLC30A2"	1	0.759106525685612	1
"1:26394124-26397120"	2997	"TRIM63"	5	0.133961126414314	1
"1:26435327-26438326"	2885	"PDIK1L"	0	0.935625451487639	1
"1:26493387-26496360"	2974	"ZNF593"	2	0.533906842990288	1
"1:26500980-26503892"	2913	"CNKSR1"	2	0.750380431259668	1
"1:26516377-26517050"	674	"CATSPER4"	1	0.129568215577096	1
"1:26557692-26560691"	3000	"CEP85"	1	0.748380440741327	1
"1:26605299-26605665"	367	"SH3BGRL3"	0	0.288043020639028	1
"1:26641447-26644446"	3000	"CD52"	2	0.762929919953875	1
"1:26670665-26673132"	1727	"AIM1L"	4	NA	NA
"1:26699266-26702265"	2988	"ZNF683"	6	0.0194377359547601	1
"1:26734268-26737267"	3000	"LIN28A"	3	0.301805469462619	1
"1:26796009-26799008"	3000	"HMGN2"	2	0.524804381859235	1
"1:27019523-27022794"	2755	"ARID1A"	6	0.0124783754893783	1
"1:27111485-27114484"	3000	"PIGV"	1	0.769374974604897	1
"1:27150200-27153199"	3000	"ZDHHC18"	0	0.940224540160669	1
"1:27186632-27189631"	3000	"SFN"	2	0.528448490091661	1
"1:27216788-27216977"	190	"GPN2"	0	0.162147605429533	1
"1:27226957-27229956"	3000	"GPATCH3"	0	0.939052111426638	1
"1:27240457-27243456"	3000	"NR0B2"	3	0.522693226836656	1
"1:27245223-27248215"	2993	"NUDC"	3	0.521135856337005	1
"1:27317197-27320196"	3000	"TRNP1"	0	NA	NA
"1:27481401-27484400"	3000	"SLC9A1"	1	0.802790431911912	1
"1:27558006-27561157"	3151	"WDTC1"	4	0.160761319048262	1
"1:27645650-27648649"	3000	"TMEM222"	2	0.515660365914941	1
"1:27665891-27668511"	2621	"SYTL1"	5	0.0329931074716356	1
"1:27693383-27696336"	2954	"MAP3K6"	1	0.754075568893786	1
"1:27701315-27704314"	3000	"FCN3"	1	0.758273967226985	1
"1:27709793-27712804"	3012	"CD164L2"	4	0.289744465625024	1
"1:27716151-27719146"	2996	"GPR3"	5	0.0548384943061229	1
"1:27816669-27819668"	3000	"WASF2"	2	0.526575949082604	1
"1:27930102-27933142"	3041	"AHDC1"	2	0.531830196633048	1
"1:27961788-27964726"	2939	"FGR"	1	0.764720161798101	1
"1:27998709-28001723"	3015	"IFI6"	1	0.77404149982845	1
"1:28050415-28050761"	347	"FAM76A"	0	0.280794398399745	1
"1:28096693-28099692"	3000	"STX12"	3	0.273281100263463	1
"1:28154288-28157287"	3000	"PPP1R8"	1	0.756801340410655	1
"1:28196054-28199059"	3005	"THEMIS2"	2	0.540984123864562	1
"1:28241254-28244235"	2982	"RPA2"	3	0.308124388667831	1
"1:28258503-28261502"	3000	"SMPDL3B"	1	0.778711365918786	1
"1:28283503-28285971"	2040	"XKR8"	1	0.59821065667358	1
"1:28415207-28418147"	2941	"EYA3"	3	0.536972038527615	1
"1:28559540-28559650"	111	"DNAJC8"	0	0.096750424846584	1
"1:28559652-28562651"	3000	"ATPIF1"	5	NA	NA
"1:28583037-28586036"	3000	"SESN2"	2	0.511406060273316	1
"1:28652548-28655547"	3000	"MED18"	1	0.773221385481841	1
"1:28693113-28696112"	3000	"PHACTR4"	0	0.93599521209861	1
"1:28876596-28879594"	2999	"TRNAU1AP"	1	0.767460317036989	1
"1:28916006-28918710"	2705	"RAB42"	0	NA	NA
"1:28969578-28972577"	3000	"TAF12"	1	0.766721380749901	1
"1:28992243-28995242"	3000	"GMEB1"	2	0.766806768915811	1
"1:29060132-29063269"	3137	"YTHDF2"	3	0.307304842768296	1
"1:29135653-29138652"	3000	"OPRD1"	2	0.501904289613847	1
"1:29210602-29213601"	3000	"EPB41"	4	0.143289459767264	1
"1:29450447-29453420"	2974	"TMEM200B"	3	0.313087458352913	1
"1:29508499-29511498"	3000	"SRSF4"	1	0.786040091537363	1
"1:29557458-29560026"	2569	"MECR"	1	0.739379674055309	1
"1:29560027-29563026"	3000	"PTPRU"	5	0.105424949414467	1
"1:31196440-31199431"	2992	"MATN1"	5	0.15157130965597	1
"1:31230667-31233666"	3000	"LAPTM5"	2	0.866539771515679	1
"1:31381608-31384479"	2872	"SDC3"	1	0.749403532549673	1
"1:31538660-31541563"	2904	"PUM1"	0	0.939195669581492	1
"1:31712429-31715400"	2972	"NKAIN1"	2	0.51115235241198	1
"1:31769642-31769840"	199	"ZCCHC17"	0	0.166638224012651	1
"1:31845923-31848922"	3000	"FABP3"	0	0.935913002623499	1
"1:31882962-31885961"	2915	"SERINC2"	3	0.511677018514452	1
"1:32039115-32042134"	3019	"TINAGL1"	1	0.782492163605991	1
"1:32081640-32084298"	2659	"HCRTR1"	4	0.105176818136612	1
"1:32110495-32113487"	2993	"PEF1"	8	0.00723702312234852	1
"1:32169920-32172767"	2848	"COL16A1"	1	0.749347234120108	1
"1:32222860-32232647"	2528	"BAI2"	1	NA	NA
"1:32281652-32284579"	2928	"SPOCD1"	3	0.294818030160637	1
"1:32476490-32479428"	2939	"KHDRBS1"	1	0.758956868238515	1
"1:32535502-32538501"	3000	"TMEM39B"	1	0.742594950243169	1
"1:32571462-32573637"	2176	"KPNA6"	0	0.857812737796393	1
"1:32642344-32645285"	2942	"TXLNA"	0	0.933988796144404	1
"1:32674288-32674693"	396	"DCDC2B"	0	0.299495169440933	1
"1:32680399-32686027"	1443	"TMEM234"	0	0.737421900249282	1
"1:32687926-32687969"	44	"EIF3I"	0	0.0399222939812327	1
"1:32715600-32716061"	462	"LCK"	1	0.0717266036687413	1
"1:32754707-32757685"	2979	"HDAC1"	4	0.15483179419029	1
"1:32801980-32804833"	2854	"MARCKSL1"	3	0.291383125440978	1
"1:32824861-32826868"	2008	"TSSK3"	0	0.85973625020072	1
"1:32841840-32842348"	509	"BSDC1"	0	0.391926489594011	1
"1:32927657-32927668"	12	"RP1-27O5.3"	0	NA	NA
"1:32927669-32930656"	2988	"ZBTB8B"	2	0.607476357823722	1
"1:33116188-33117746"	1488	"ZBTB8OS"	2	0.1560971073852	1
"1:33168720-33171360"	2641	"SYNC"	0	0.913397223584675	1
"1:33338081-33341080"	3000	"FNDC5"	1	0.763789278070435	1
"1:33349097-33352034"	2938	"HPCA"	1	0.753653516700918	1
"1:33366959-33369952"	2994	"TMEM54"	1	0.762824450170779	1
"1:33430320-33433285"	2966	"RNF19B"	2	0.533259525598061	1
"1:33438572-33438702"	131	"FKSG48"	0	0.12654636374403	1
"1:33502445-33505511"	3067	"AK2"	2	0.525806444912772	1
"1:33543713-33546712"	3000	"ADC"	1	NA	NA
"1:33647267-33650653"	3387	"TRIM62"	3	0.383909926202682	1
"1:33719173-33722172"	3000	"ZNF362"	4	0.250806967784901	1
"1:33841194-33844193"	3000	"PHC2"	2	0.68359348738847	1
"1:33935245-33938244"	3000	"ZSCAN20"	0	0.978748053464348	1
"1:34323075-34326074"	3000	"HMGB4"	5	0.604448676168894	1
"1:34629876-34643269"	5295	"C1orf94"	17	0.380368975053481	1
"1:35217720-35220646"	2927	"GJB5"	3	0.585758769255765	1
"1:35224113-35225340"	1228	"GJB4"	2	0.517517739516516	1
"1:35244910-35246788"	1879	"GJB3"	1	0.743406013226387	1
"1:35255598-35258597"	3000	"GJA4"	2	0.792851515606318	1
"1:35325417-35328416"	3000	"SMIM12"	0	0.982521593582528	1
"1:35450954-35453953"	2982	"ZMYM6NB"	2	NA	NA
"1:35497569-35500568"	3000	"ZMYM6"	1	0.874938823060246	1
"1:35541971-35544966"	2996	"ZMYM1"	4	0.224143244131131	1
"1:35658749-35661742"	2994	"SFPQ"	0	0.955270474914688	1
"1:35731567-35734566"	3000	"ZMYM4"	4	0.512482098154834	1
"1:36023014-36023391"	378	"KIAA0319L"	0	0.353213464753028	1
"1:36035970-36038969"	3000	"TFAP2E"	0	0.964859108432171	1
"1:36107445-36110444"	3000	"PSMB2"	3	0.610043818838599	1
"1:36235529-36238550"	3022	"CLSPN"	4	0.195556648222116	1
"1:36270827-36273771"	2945	"AGO4"	3	0.367052626654053	1
"1:36345809-36348808"	3000	"AGO1"	2	0.579755844116278	1
"1:36395211-36396677"	1467	"AGO3"	0	0.768218903946612	1
"1:36546675-36549674"	3000	"TEKT2"	4	0.173674239311881	1
"1:36553876-36554470"	595	"ADPRHL2"	1	0.118664896530411	1
"1:36591015-36592553"	561	"COL8A2"	0	0.404708209338688	1
"1:36615070-36618066"	2997	"TRAPPC3"	2	0.504348890851478	1
"1:36618802-36621801"	3000	"MAP7D1"	2	0.505011181399323	1
"1:36687016-36690015"	3000	"THRAP3"	2	0.502586322343284	1
"1:36786334-36787521"	321	"RP11-268J15.5"	0	0.278902502441984	1
"1:36851497-36854484"	2988	"STK40"	5	0.0585202604902682	1
"1:36863493-36866492"	3000	"LSM10"	2	0.524926042913045	1
"1:36916052-36919051"	3000	"OSCP1"	3	0.301600960359953	1
"1:36930038-36931641"	1604	"MRPS15"	3	0.0613387156481128	1
