"SID"	"window"	"n"	"N"	"gene"	"k"	"pValue"	"qValue"
"1:157522545-157522687"	143	3	143	"FCRL5"	3	0.01542	1
"1:157568870-157568920"	51	6	51	"FCRL4"	6	2.823e-11	3.198e-08
"1:157790395-157790488"	94	3	94	"FCRL1"	3	0.0002371	0.1498
"1:157813460-157813581"	122	3	122	"CD5L"	3	0.0002857	0.1726
"1:158223509-158223575"	67	3	67	"CD1A"	3	0.002417	0.6898
"1:158534271-158534470"	200	7	200	"OR6P1"	7	1.367e-06	0.001352
"1:159173670-159173800"	131	3	131	"DARC"	3	0.001032	0.4149
"1:159748532-159748640"	109	3	109	"DUSP23"	3	0.000284	0.1721
"1:160082728-160082784"	57	5	57	"ATP1A2"	4	8.232e-06	0.007664
"1:160617544-160617619"	76	3	76	"SLAMF1"	3	3.489e-05	0.02903
"1:161171124-161171233"	110	3	110	"ADAMTS4"	2	0.006783	0.9971
"1:161493636-161493739"	104	7	104	"HSPA6"	7	2.196e-09	2.416e-06
"1:163175374-163175453"	80	3	80	"RGS5"	3	0.0002544	0.1577
"1:166807377-166807439"	63	3	63	"POGK"	2	0.01218	1
"1:166845690-166845772"	83	3	83	"TADA1"	3	0.0002847	0.1722
"1:168515541-168515591"	51	4	51	"XCL2"	4	8.387e-07	0.0008429
"1:168515712-168515762"	51	3	51	"XCL2"	3	2.001e-05	0.01763
"1:171713732-171713796"	65	3	65	"VAMP4"	3	5.824e-05	0.04551
"1:179849160-179849212"	53	3	53	"TOR1AIP2"	3	3.712e-05	0.0307
"1:182642180-182642316"	137	3	137	"RGS8"	3	0.01717	1
"1:184724035-184724096"	62	3	49	"EDEM3"	3	0.000629	0.2963
"1:192604650-192604719"	70	3	70	"RGS13"	2	0.00483	0.9067
"1:196912312-196912432"	121	3	121	"CFHR2"	3	0.0002125	0.1366
"1:197115856-197115977"	122	3	122	"ASPM"	3	0.0002384	0.1504
"1:197886234-197886284"	51	4	51	"LHX9"	4	2.701e-06	0.002617
"1:198123721-198123771"	51	5	51	"NEK7"	5	5.528e-09	6.009e-06
"1:200592631-200592732"	102	4	102	"KIF14"	4	0.0001155	0.08212
"1:205181094-205181154"	61	3	61	"DSTYK"	3	0.0003262	0.1918
"1:207097562-207097651"	90	4	90	"FAIM3"	3	0.0001677	0.1134
"1:209848026-209848078"	53	6	53	"G0S2"	6	2.271e-09	2.496e-06
"1:210110890-210110944"	55	6	55	"SYT14"	6	7.734e-11	8.693e-08
"1:211667790-211667850"	61	4	61	"RD3"	4	1.533e-06	0.001505
"1:214775290-214775395"	106	3	106	"CENPF"	2	0.009756	1
"1:226598201-226598256"	56	7	56	"PARP1"	5	2.02e-07	0.0002083
"1:230852902-230852952"	51	4	51	"AGT"	4	7.193e-07	0.0007243
"1:231762390-231762440"	51	3	51	"DISC1"	3	3.328e-05	0.02786
"1:233431687-233431769"	83	3	83	"PCNXL2"	3	0.0002827	0.1716
"1:236847379-236847436"	58	5	58	"ACTN2"	5	3.544e-09	3.87e-06
"1:240254781-240254899"	119	4	119	"FMN2"	3	0.008546	1
"1:241521743-241521889"	147	3	147	"RGS7"	3	0.005016	0.9129
"1:241695312-241695395"	84	3	84	"KMO"	2	0.02232	1
"1:246670601-246670697"	97	4	83	"SMYD3"	4	0.0006668	0.3047
"1:247617471-247617534"	64	7	64	"OR2B11"	7	1.958e-10	2.187e-07
"1:247768182-247768300"	119	3	119	"OR2G3"	3	0.01063	1
"1:247838675-247838772"	98	4	98	"OR13G1"	3	0.0003895	0.2173
"1:247923639-247923808"	170	4	170	"OR1C1"	4	0.0004709	0.2482
"1:248007301-248007364"	64	3	64	"OR11L1"	3	0.0004396	0.2374
"1:248128390-248128442"	53	3	53	"OR2AK2"	3	0.0004385	0.2374
"1:248199477-248199570"	94	3	94	"OR2L2"	3	0.0005467	0.2739
"1:248308021-248308121"	101	3	101	"OR2M5"	2	0.0153	1
"1:248402059-248402163"	105	3	105	"OR2M4"	3	0.0005942	0.2873
"1:248437159-248437397"	239	7	239	"OR2T33"	7	3.546e-08	3.762e-05
"1:248488093-248488184"	92	3	92	"OR2M7"	2	0.006969	0.9971
"1:248510303-248510416"	114	3	114	"OR14C36"	3	0.002406	0.6898
"1:248510618-248510730"	113	3	113	"OR14C36"	3	0.0004853	0.2538
"1:248521981-248522093"	113	4	113	"OR2T4"	4	7.974e-05	0.05941
"1:248523988-248524094"	107	4	107	"OR2T4"	4	5.746e-05	0.04505
"1:248548438-248548517"	80	3	80	"OR2T6"	3	0.0003274	0.1922
"1:248566364-248566458"	95	4	95	"OR2T1"	4	6.845e-05	0.05195
"1:248635820-248635995"	176	5	176	"OR2T3"	5	1.11e-05	0.01022
"1:248725488-248725610"	123	3	123	"OR2T29"	3	0.004128	0.8669
"1:248816368-248816452"	85	3	85	"OR2T27"	2	0.01972	1
"1:248845678-248845781"	104	3	104	"OR14I1"	3	0.0126	1
"2:2337411-2337534"	124	3	124	"MYT1L"	3	0.001614	0.5439
"2:2337851-2337959"	109	4	109	"MYT1L"	4	4.322e-05	0.03514
"2:9146253-9146307"	55	3	55	"MBOAT2"	2	0.0005447	0.2734
"2:10182794-10182890"	97	5	97	"KLF11"	4	1.669e-06	0.001628
"2:11487257-11487392"	136	4	136	"ROCK2"	3	0.0002888	0.1736
"2:11812358-11812408"	51	4	51	"NTSR2"	4	3.419e-07	0.0003494
"2:15838301-15838354"	54	3	54	"AC008271.1"	3	2.971e-05	0.02516
"2:16079914-16080032"	119	3	119	"MYCN"	3	0.005882	0.9592
"2:27070193-27070301"	109	4	109	"DPYSL5"	4	2.53e-05	0.02181
"2:48983474-48983538"	65	3	65	"LHCGR"	2	0.001136	0.4457
"2:62130292-62130401"	110	4	110	"COMMD1"	2	0.01307	1
"2:62735768-62735907"	140	5	140	"TMEM17"	4	0.001948	0.6068
"2:62932599-62932692"	94	3	94	"EHBP1"	3	0.001214	0.4625
"2:65359194-65359246"	53	4	53	"RAB1A"	4	3.827e-07	0.0003904
"2:67622514-67622588"	75	3	75	"ETAA1"	3	0.0001125	0.08032
"2:69181162-69181216"	55	4	55	"GKN2"	4	5.469e-06	0.005163
"2:73427202-73427269"	68	3	68	"NOTO"	3	0.0001032	0.07441
"2:74055951-74056007"	57	3	57	"STAMBP"	2	0.01299	1
"2:74741105-74741188"	84	3	84	"TLX2"	3	0.004823	0.9067
"2:75940183-75940300"	118	3	118	"GCFC2"	3	0.003946	0.8484
"2:77751157-77751266"	110	3	110	"LRRTM4"	3	0.000119	0.08437
"2:79250796-79250883"	88	4	88	"REG3G"	4	8.77e-06	0.008156
"2:79315444-79315523"	80	3	80	"REG1B"	3	0.0003486	0.2004
"2:79347238-79347354"	117	4	117	"REG1A"	4	2.853e-05	0.02428
"2:79387528-79387625"	98	3	98	"REG3A"	3	0.0007479	0.3315
"2:85789971-85790094"	124	4	124	"GGCX"	3	0.0007139	0.3241
"2:88991064-88991186"	123	3	98	"RPIA"	3	0.0005938	0.2873
"2:95962885-95963034"	150	3	150	"KCNIP3"	3	0.0006439	0.2997
"2:96784140-96784251"	112	3	112	"ADRA2B"	2	0.0208	1
"2:99871616-99871703"	88	3	88	"LYG2"	3	0.00442	0.885
"2:103087407-103087506"	100	3	100	"SLC9A4"	3	0.0002194	0.1404
"2:105469396-105469449"	54	3	54	"POU3F3"	3	4.503e-06	0.004282
"2:105654379-105654465"	87	5	62	"MRPS9"	5	2.052e-05	0.01802
"2:108601733-108601823"	91	3	91	"SLC5A7"	3	0.0003176	0.188
"2:110373910-110373963"	54	6	54	"SEPT10"	6	3.212e-09	3.514e-06
"2:119607387-119607549"	163	4	163	"EN1"	3	0.01969	1
"2:119698774-119698906"	133	4	133	"MARCO"	4	0.0002714	0.165
"2:122494986-122495039"	54	3	54	"MKI67IP"	3	0.001171	0.4532
"2:124780195-124780286"	92	3	92	"CNTNAP5"	3	0.0003148	0.1867
"2:124780628-124780731"	104	3	104	"CNTNAP5"	3	0.002226	0.6656
"2:124782076-124782145"	70	3	70	"CNTNAP5"	3	0.0006494	0.2997
"2:127411966-127412068"	103	3	103	"GYPC"	3	0.00104	0.417
"2:130956363-130956413"	51	3	51	"TUBA3E"	3	0.001386	0.5052
"2:142890350-142890450"	101	4	101	"LRP1B"	4	5.635e-06	0.005314
"2:154726934-154727015"	82	3	82	"GALNT13"	2	0.01142	1
"2:155552783-155552895"	113	4	113	"KCNJ3"	4	0.0001367	0.09494
"2:159650658-159650708"	51	4	51	"DAPL1"	4	7.37e-07	0.0007414
"2:161350880-161350930"	51	3	51	"RBMS1"	3	5.826e-05	0.04551
"2:162933494-162933573"	80	3	80	"DPP4"	3	0.00324	0.803
"2:163697790-163697875"	86	3	86	"KCNH7"	3	0.0004985	0.2562
"2:164594411-164594532"	122	3	122	"FIGN"	3	0.004544	0.8952
"2:166653491-166653541"	51	7	51	"GALNT3"	7	3.382e-12	3.883e-09
"2:170432624-170432706"	83	3	83	"FASTKD1"	3	0.008506	1
"2:171032144-171032260"	117	3	117	"MYO3B"	3	0.00307	0.7828
"2:175352027-175352125"	99	3	99	"GPR155"	3	0.001904	0.6004
"2:186602021-186602084"	64	3	64	"FSIP2"	2	0.003701	0.8327
"2:187348836-187348898"	63	3	63	"ZC3H15"	2	0.004585	0.8987
"2:187714504-187714554"	51	7	51	"ZSWIM2"	7	3.799e-12	4.357e-09
"2:187716265-187716331"	67	3	67	"ZSWIM2"	3	0.004901	0.9116
"2:197792538-197792588"	51	6	51	"PGAP1"	6	8.694e-12	9.946e-09
"2:202897161-202897277"	117	7	117	"FZD7"	5	1.83e-07	0.000189
"2:203104335-203104388"	54	4	54	"SUMO1"	2	0.003599	0.8298
"2:204570571-204570628"	58	3	58	"CD28"	2	0.002457	0.6929
"2:204731212-204731264"	53	3	53	"CTLA4"	3	9.394e-05	0.06858
"2:209012461-209012608"	148	3	148	"CRYGB"	3	0.0008852	0.3775
"2:211341706-211341756"	51	5	51	"LANCL1"	5	2.638e-09	2.894e-06
"2:216176288-216176361"	74	6	74	"ATIC"	6	5.862e-10	6.495e-07
"2:216303293-216303349"	57	4	57	"FN1"	2	0.0004945	0.2557
"2:217238235-217238290"	56	3	56	"MARCH4"	2	0.005351	0.9397
"2:219908600-219908652"	53	3	53	"CCDC108"	3	1.467e-05	0.01326
"2:220436728-220436778"	51	3	51	"OBSL1"	3	1.056e-05	0.009736
"2:229047018-229047116"	99	3	99	"SPHKAP"	3	0.001945	0.6068
"2:233241365-233241463"	99	3	99	"ALPP"	3	0.002308	0.6739
"2:233641811-233641861"	51	4	51	"KCNJ13"	4	4.843e-08	5.119e-05
"2:241396755-241396866"	112	3	112	"AC110619.2"	3	0.001205	0.4603
"2:241622293-241622343"	51	4	26	"AQP12B"	4	3.437e-06	0.003303
"2:241631050-241631153"	104	4	104	"AQP12A"	3	0.0006342	0.2968
"3:1133351-1133404"	54	5	54	"CNTN6"	5	2.045e-08	2.188e-05
"3:2138201-2138333"	133	6	133	"CNTN4"	6	9.306e-07	0.0009306
"3:21795253-21795332"	80	5	80	"ZNF385D"	5	3.259e-10	3.634e-07
"3:39322800-39322868"	69	4	69	"CX3CR1"	2	0.0442	1
"3:43325382-43325434"	53	4	53	"SNRK"	4	9.075e-07	0.0009111
"3:69435681-69435750"	70	3	70	"FRMD4B"	2	0.0476	1
"3:75834838-75834889"	52	6	52	"ZNF717"	5	3.495e-08	3.712e-05
"3:75834965-75835077"	113	8	113	"ZNF717"	7	9.105e-10	1.004e-06
"3:75835080-75835280"	201	14	201	"ZNF717"	11	4.228e-13	4.888e-10
"3:75835290-75835408"	119	6	119	"ZNF717"	5	7.172e-07	0.0007229
"3:75835592-75835728"	137	5	137	"ZNF717"	4	0.0001559	0.1065
"3:75836965-75837064"	100	7	100	"ZNF717"	7	9.522e-12	1.088e-08
"3:75837107-75837277"	171	16	149	"ZNF717"	13	8.933e-18	1.05e-14
"3:93693276-93693332"	57	3	57	"PROS1"	3	6.986e-05	0.05288
"3:97851079-97851154"	76	3	76	"OR5H1"	2	0.0569	1
"3:97866331-97866485"	155	4	155	"OR5H14"	4	0.0003317	0.1935
"3:97867207-97867296"	90	3	90	"OR5H14"	2	0.004237	0.8688
"3:97884921-97885003"	83	3	83	"OR5H15"	3	0.00406	0.8648
"3:97887268-97887401"	134	4	134	"OR5H15"	4	0.001459	0.515
"3:97887427-97887520"	94	3	94	"OR5H15"	2	0.08825	1
"3:98241809-98241922"	114	3	114	"CLDND1"	3	0.01453	1
"3:99536398-99536489"	92	3	92	"CMSS1"	3	0.0008531	0.3677
"3:100051253-100051303"	51	4	51	"NIT2"	4	9.079e-07	0.0009111
"3:100208999-100209054"	56	3	56	"TMEM45A"	2	0.0009673	0.3956
"3:108539743-108539832"	90	3	90	"TRAT1"	3	0.0001418	0.09785
"3:108837832-108837921"	90	3	90	"MORC1"	3	0.0001239	0.08735
"3:109035561-109035675"	115	3	115	"DPPA2"	3	0.003155	0.7951
"3:109036330-109036421"	92	3	92	"DPPA2"	3	0.0001612	0.1096
"3:111259959-111260043"	85	3	85	"CD96"	3	0.0007246	0.3261
"3:112051024-112051094"	71	3	71	"CD200"	2	0.005395	0.9397
"3:122280980-122281038"	59	4	59	"DTX3L"	4	1.531e-06	0.001505
"3:122919948-122920073"	126	4	126	"SEC22A"	3	0.01151	1
"3:129693064-129693142"	79	6	79	"TRH"	5	2.637e-08	2.806e-05
"3:130062091-130062179"	89	4	89	"COL6A5"	3	0.0004574	0.2433
"3:137715854-137715942"	89	3	89	"CLDN18"	3	0.001235	0.4665
"3:137835396-137835518"	123	3	123	"DZIP1L"	3	0.001705	0.5592
"3:139196616-139196703"	88	3	88	"RBP2"	3	0.0003919	0.2179
"3:139398894-139398990"	97	3	97	"NMNAT3"	3	0.0004491	0.2415
"3:142718999-142719049"	51	7	51	"U2SURP"	7	2.86e-11	3.238e-08
"3:145879954-145880047"	94	3	94	"PLOD2"	2	0.00868	1
"3:147126015-147126169"	155	6	155	"ZIC4"	6	4.276e-08	4.528e-05
"3:147126337-147126415"	79	3	79	"ZIC4"	3	0.004176	0.8688
"3:149052178-149052242"	65	6	65	"TM4SF18"	6	7.704e-10	8.513e-07
"3:153838370-153838428"	59	4	59	"ARHGEF26"	4	6.283e-06	0.0059
"3:157223588-157223663"	76	6	76	"VEPH1"	6	7.334e-11	8.251e-08
"3:158288867-158288960"	94	3	94	"MLF1"	3	0.0001823	0.1218
"3:158785453-158785584"	132	3	132	"IQCJ-SCHIP1"	3	0.003816	0.8395
"3:164799005-164799102"	98	3	98	"SI"	3	0.0005827	0.2857
"3:164916731-164916795"	65	3	65	"SLITRK3"	3	0.0001673	0.1134
"3:167099477-167099551"	75	3	75	"ZBBX"	3	0.0005406	0.2719
"3:169490041-169490156"	116	3	116	"MYNN"	3	0.0005936	0.2873
"3:169530852-169530929"	78	3	78	"LRRC34"	3	0.0007438	0.3315
"3:170744583-170744684"	102	3	102	"SLC2A2"	3	0.0006907	0.315
"3:171529977-171530079"	103	3	103	"PLD1"	3	0.001892	0.6004
"3:179280038-179280124"	87	10	87	"ACTL6A"	10	6.081e-17	7.127e-14
"3:180319375-180319492"	118	5	118	"TTC14"	4	5.719e-05	0.04493
"3:181428733-181428834"	102	3	102	"SOX2"	3	0.0006065	0.2899
"3:181429538-181429618"	81	5	81	"SOX2"	4	3.595e-06	0.00344
"3:183353262-183353359"	98	4	94	"KLHL24"	3	0.0004076	0.2246
"3:183748611-183748679"	69	4	69	"HTR3D"	4	6.314e-05	0.04834
"3:184032024-184032076"	53	3	53	"EIF4G1"	2	0.003333	0.8133
"3:186328316-186328375"	60	3	60	"AHSG"	2	0.00243	0.6898
"3:186501088-186501185"	98	3	98	"EIF4A2"	2	0.004089	0.8648
"3:186913294-186913358"	65	7	65	"RTP1"	7	8.378e-13	9.668e-10
"3:189347793-189347874"	82	3	82	"TP63"	3	8.753e-05	0.0646
"3:194092565-194092618"	54	7	54	"LRRC15"	7	2.801e-11	3.176e-08
"3:195446272-195446325"	54	3	54	"MUC20"	3	0.0001786	0.1195
"3:196669738-196669823"	86	3	86	"NCBP2"	2	0.00741	1
"4:50277-50371"	95	4	95	"ZNF595"	4	1.193e-05	0.01093
"4:50376-50446"	71	3	71	"ZNF595"	3	2.236e-05	0.01956
"4:50634-50729"	96	3	96	"ZNF595"	3	0.001888	0.6004
"4:50888-51047"	160	6	160	"ZNF595"	5	4.205e-05	0.03427
"4:51053-51349"	297	9	297	"ZNF595"	8	1.523e-06	0.001499
"4:51492-51721"	230	8	230	"ZNF595"	8	1.128e-08	1.218e-05
"4:51888-52105"	218	11	218	"ZNF595"	10	1.308e-11	1.492e-08
"4:52110-52248"	139	6	139	"ZNF595"	6	3.781e-07	0.000386
"4:52284-52353"	70	3	70	"ZNF595"	3	0.002679	0.734
"4:52387-52463"	77	3	77	"ZNF595"	3	0.0006432	0.2997
"4:52648-52720"	73	4	73	"ZNF595"	4	3.045e-05	0.02567
"4:52764-52815"	52	3	52	"ZNF595"	3	0.001587	0.5364
"4:52859-53105"	247	9	247	"ZNF595"	7	7.343e-08	7.703e-05
"4:53109-53214"	106	3	89	"ZNF595"	3	0.0002045	0.1325
"4:821275-821371"	97	3	97	"CPLX1"	3	0.01465	1
"4:4231216-4231323"	108	4	108	"OTOP1"	3	0.0005476	0.2739
"4:5022908-5023009"	102	3	102	"CYTL1"	3	0.0008882	0.3775
"4:9245328-9245386"	59	6	59	"USP17L17"	6	3.315e-10	3.693e-07
"4:9249935-9250083"	149	5	149	"USP17L18"	5	2.907e-06	0.002808
"4:25164544-25164602"	59	4	59	"SEPSECS"	3	0.0001209	0.08548
"4:39699078-39699130"	53	4	53	"UBE2K"	4	9.093e-07	0.0009111
"4:46127118-46127243"	126	5	126	"GABRG1"	5	5.695e-05	0.04493
"4:46393400-46393468"	69	3	69	"GABRA2"	3	4.712e-05	0.03784
"4:46394508-46394572"	65	3	60	"GABRA2"	2	0.01119	1
"4:46996473-46996533"	61	4	61	"GABRA4"	4	3.367e-07	0.0003444
"4:48017201-48017251"	51	3	51	"NIPAL1"	3	2.269e-05	0.01979
"4:66536072-66536164"	93	3	93	"EPHA5"	3	0.001805	0.5794
"4:71090479-71090531"	53	3	53	"FDCSP"	2	0.02503	1
"4:71106052-71106159"	108	3	108	"CSN3"	3	0.0006083	0.2902
"4:74849103-74849153"	51	7	51	"PF4"	7	3.348e-11	3.783e-08
"4:75227878-75227932"	55	4	55	"EREG"	3	0.0002094	0.1349
"4:76930748-76930803"	56	7	56	"CXCL9"	7	6.287e-13	7.261e-10
"4:79695415-79695513"	99	3	99	"BMP2K"	3	0.00271	0.734
"4:83484002-83484063"	62	3	62	"TMEM150C"	3	5.977e-05	0.04632
"4:83484408-83484488"	81	3	81	"TMEM150C"	2	0.02938	1
"4:88314090-88314140"	51	3	51	"HSD17B11"	3	4.824e-06	0.004573
"4:104121653-104121739"	87	3	87	"CENPE"	3	0.0008897	0.3775
"4:110733772-110733871"	100	3	100	"GAR1"	2	0.03606	1
"4:115518900-115518975"	76	3	76	"UGT8"	2	0.003444	0.8298
"4:120131426-120131546"	121	3	121	"USP53"	3	0.002068	0.6307
"4:122689040-122689148"	109	3	109	"TMEM155"	3	0.001757	0.571
"4:122791745-122791814"	70	3	70	"BBS7"	3	0.0002631	0.1619
"4:134068882-134069018"	137	3	137	"PCDH10"	3	0.002971	0.7635
"4:147559707-147559832"	126	3	126	"POU4F2"	3	0.007743	1
"4:159440365-159440449"	85	3	85	"RXFP1"	2	0.005239	0.9351
"4:159645477-159645529"	53	3	53	"PPID"	3	0.001153	0.4485
"4:164090732-164090813"	82	3	82	"NAF1"	3	0.001487	0.5212
"4:164255256-164255378"	123	3	123	"NPY1R"	3	0.0003801	0.2144
"4:164264102-164264202"	101	3	101	"NPY5R"	3	0.0006468	0.2997
"4:174453978-174454093"	116	3	116	"HAND2"	3	0.009134	1
"4:190859048-190859138"	91	8	91	"FRG1"	7	5.49e-10	6.094e-07
"4:190859748-190859849"	102	3	102	"FRG1"	3	0.0005355	0.2699
"4:190860744-190860825"	82	5	82	"FRG1"	4	2.886e-05	0.02447
"4:190861272-190861334"	63	5	63	"FRG1"	5	3.071e-09	3.366e-06
"5:11904912-11905002"	91	3	91	"CTNND2"	3	0.001682	0.5551
"5:17217155-17217209"	55	9	55	"BASP1"	9	3.706e-17	4.347e-14
"5:19988683-19988740"	58	3	58	"CDH18"	3	0.001234	0.4665
"5:19989789-19989927"	139	5	139	"CDH18"	5	5.88e-06	0.005533
"5:19990869-19991016"	148	5	148	"CDH18"	4	1.347e-05	0.01223
"5:23505859-23505937"	79	3	79	"PRDM9"	3	0.0001852	0.123
"5:23507529-23507648"	120	4	120	"PRDM9"	4	0.0003311	0.1935
"5:27039671-27039774"	104	3	104	"CDH9"	3	0.0002237	0.1427
"5:27040034-27040140"	107	3	107	"CDH9"	2	0.02185	1
"5:31193565-31193666"	102	6	102	"CDH6"	5	6.531e-08	6.871e-05
"5:33438700-33438753"	54	6	54	"TARS"	6	2.197e-11	2.498e-08
"5:34008628-34008733"	106	3	106	"AMACR"	2	0.01108	1
"5:35617842-35617901"	60	3	60	"SPEF2"	3	0.0002627	0.1619
"5:36067103-36067204"	102	3	102	"UGT3A2"	3	0.0002896	0.1738
"5:36067937-36068039"	103	3	103	"UGT3A2"	3	0.0009421	0.3881
"5:39075399-39075456"	58	4	58	"RICTOR"	3	1.562e-05	0.01403
"5:40907271-40907347"	77	4	77	"C7"	4	2.671e-05	0.02292
"5:40908187-40908259"	73	3	73	"C7"	2	0.003439	0.8298
"5:43313608-43313680"	73	3	66	"HMGCS1"	3	0.0003842	0.2157
"5:44807121-44807243"	123	5	123	"MRPS30"	4	0.0003693	0.211
"5:45696876-45696982"	107	3	107	"HCN1"	3	0.00323	0.803
"5:45697040-45697178"	139	4	139	"HCN1"	4	0.0009491	0.3901
"5:45697970-45698066"	97	3	97	"HCN1"	3	0.0003387	0.1964
"5:54282401-54282517"	117	3	117	"ESM1"	3	0.002691	0.734
"5:54831893-54831961"	69	4	69	"PPAP2A"	2	0.003763	0.8393
"5:59997829-59997954"	126	3	126	"DEPDC1B"	2	0.1557	1
"5:78908143-78908234"	92	4	92	"PAPD4"	4	3.543e-06	0.003394
"5:83017532-83017622"	91	4	91	"HAPLN1"	3	4.038e-05	0.03307
"5:89705696-89705784"	89	3	89	"CETN3"	3	0.001338	0.4951
"5:92918467-92918519"	53	6	53	"NR2F1"	3	2.989e-05	0.02529
"5:94620896-94620968"	73	3	73	"MCTP1"	3	0.005115	0.9258
"5:115296747-115296822"	76	3	76	"AQPEP"	3	0.001787	0.5754
"5:140016028-140016090"	63	3	63	"TMCO6"	3	0.0006026	0.2886
"5:156391427-156391522"	96	3	96	"TIMD4"	2	0.01457	1
"5:156692263-156692331"	69	3	69	"CYFIP2"	3	0.004157	0.8688
"5:161493252-161493375"	124	3	124	"GABRG2"	3	0.001385	0.5052
"5:169063722-169063774"	53	3	53	"DOCK2"	3	4.804e-05	0.03838
"5:171616793-171616843"	51	3	51	"STK10"	3	2.546e-05	0.02192
"5:172570082-172570163"	82	3	82	"BNIP1"	3	0.0009048	0.378
"5:173314086-173314159"	74	3	74	"CPEB4"	3	0.002189	0.6567
"6:2246554-2246637"	84	3	84	"GMDS"	2	0.06843	1
"6:3229232-3229282"	51	3	51	"PSMG4"	3	2.866e-05	0.02436
