ATRX	X:76763767-77044701
IGHV1-8	14:106538914-106539634
RP11-42I10.1	16:48655233-48657959
IGHV1-3	14:106471128-106471833
IGHV1-2	14:106452480-106453249
LINC00320	21:22174409-22174512
NPC2	14:74943056-74957465
NPC1	18:21115337-21169580
GATA3-AS1	10:8089681-8090501
LINC00326	6:133415163-133415338
LINC00327	13:24045317-24062978
C3orf58	3:143687639-143751044
RAB3GAP2	1:220318822-220448795
BHLHA15	7:97838945-97842565
RAB3GAP1	2:135808013-135931275
C3orf52	3:111803012-111838438
C3orf55	3:157270973-157395431
C3orf56	3:126915560-126916202
DAG1	3:49503155-49570663
ETHE1	19:44010927-44034354
SGSM3	22:40763613-40803291
RP11-349A22.5	14:58748135-58748541
KDM1A	1:23345343-23406219
KDM1B	6:18158305-18218187
SLC36A2	5:150696305-150730150
OR1S1	11:57979216-57983282
OR1S2	11:57970581-57974652
RBM14-RBM4	11:66381095-66413536
FCER1G	1:161182085-161190185
BTG4	11:111338333-111386078
FCER1A	1:159256505-159277800
BTG2	1:203271663-203275661
SOSTDC1	7:16502068-16508481
HESX1	3:57232157-57236982
SRD5A3	4:56209387-56236330
SRD5A2	2:31805041-31809039
SRD5A1	5:6636155-6668476
GGA1	22:38001480-38032480
GGA3	17:73231786-73260706
GGA2	16:23473264-23524814
FHOD1	16:67267613-67279879
FHOD3	18:33874701-34360209
C4orf6	4:5523882-5528118
RP11-20G13.1	15:99965381-99973818
RP11-20G13.2	15:99943674-99944057
GJC2	1:228334551-228350513
C4orf3	4:120221441-120228599
GJC1	17:42881927-42911178
PSMB9	6:32821937-32827365
PSMB8	6:32809810-32812983
PSMB7	9:127115816-127180720
PSMB6	17:4696438-4704789
PSMB5	14:23495225-23507353
PSMB4	1:151369040-151377419
PSMB3	17:36908988-36920464
PSMB2	1:36068815-36110444
RP11-575H3.1	2:91766448-91770704
RP11-17M16.1	18:74207476-74210044
LMBR1L	12:49490917-49507679
TRAV23DV6	14:22554674-22555309
ACKR2	3:42847963-42889729
LTN1	21:30302700-30368269
TRIML2	4:189012455-189029743
C9orf141	9:139860693-139868955
C9orf142	9:139887060-139888316
TRIML1	4:189057597-189068577
NACC2	9:138903212-138990130
VPS13D	1:12287122-12569084
NACC1	19:13228381-13254900
VPS13A	9:79789360-80031003
SH3KBP1	X:19554431-19908718
VPS13C	15:62146621-62355663
VPS13B	8:100022493-100884017
BEX5	X:101408861-101413985
BEX4	X:102467019-102471527
BEX2	X:102564469-102568882
BEX1	X:102317776-102322167
TMEM160	19:47549400-47554881
TMEM163	2:135215537-135479569
TMEM165	4:56259122-56291709
TMEM164	X:109243341-109419622
TMEM169	2:216946539-216965346
TMEM168	7:112404344-112433477
EVI2B	17:29631208-29644129
FOXN1	17:26847958-26864580
FOXN2	2:48538847-48602624
FOXN3	14:89628733-90088492
NICN1	3:49460377-49469756
COL14A1	8:121134351-121383545
TAP1	6:32812984-32821936
IGHV4-4	14:106478023-106478671
TAP2	6:32780869-32809598
SNAP91	6:84265806-84421846
AC067945.4	2:191889927-191890199
C11orf35	11:555276-563750
C11orf34	11:112119422-112134582
C11orf31	11:57508824-57509761
C11orf30	11:76153068-76261256
AC010646.3	19:17351507-17366248
MACROD2	20:13973014-16030683
MACROD1	11:63766452-63936532
SEP15	1:87329093-87380047
RP5-991C6.4	6:82444624-82444815
KRR1	12:75892502-75908400
RP5-991C6.3	6:82522165-82522344
FAM64A	17:6344734-6353794
NNT-AS1	5:43587046-43587681
CTD-2336H13.2	16:76784403-76903058
FAM92A1	8:94712812-94740629
RP11-119F19.2	10:81443824-81514029
HIST2H3PS2	1:149398704-149400603
C8orf49	8:11615894-11619762
C8orf48	8:13421351-13425512
C8orf47	8:99101249-99105628
C8orf46	8:67404445-67428407
C8orf44	8:67589876-67592188
TP53I3	2:24300301-24311084
MB	22:36003249-36022605
DUX4L7	4:190989085-190993896
DUX4L6	4:190993897-190997189
DUX4L5	4:190997190-191000531
DUX4L4	4:191000532-191003776
DUX4L3	4:191007077-191010369
DUX4L2	4:191010370-191013759
SLC18A3	10:50815346-50823080
SLC18A2	10:118997602-119036844
SLC18A1	8:20003177-20043716
RALBP1	18:9472529-9536041
AC008697.1	5:158764610-158764869
RP11-231E6.1	3:112117789-112118188
ZNF831	20:57763074-57829873
ZNF830	17:33288548-33290204
ZNF835	19:57174875-57186122
ZNF837	19:58879103-58895388
ZNF836	19:52658041-52677895
ZNF839	14:102780712-102808626
LRIF1	1:111489164-111509565
PHAX	5:125934110-125960600
TSPY8	Y:9192451-9218453
SBSPON	8:73979522-74008506
ZPBP	7:49977092-50135831
TSPY2	Y:6111263-6116964
TSPY1	Y:9301563-9307331
SLC17A8	12:100747856-100813994
SLC17A9	20:61581050-61598929
RP5-947P14.1	1:106623486-106623992
RAB33B	4:140371960-140394334
SLC17A4	6:25751926-25779465
SLC17A5	6:74304708-74366736
SLC17A6	11:22356666-22399353
SLC17A7	19:49932075-49947807
SLC17A1	6:25798958-25835286
SLC17A2	6:25913435-25933945
SLC17A3	6:25845535-25877470
C16orf58	16:31501334-31522705
C16orf59	16:2510245-2514798
RP11-386M24.3	15:93121728-93143117
C16orf52	16:22020045-22092272
WASIR1	X:155248978-155249501
C16orf54	16:29756341-29760326
AP5B1	11:65545262-65550821
CHMP4B	20:32396109-32441501
CHMP4C	8:82641687-82673423
RP11-20E24.1	12:76963600-77005695
COBLL1	2:165542363-165694049
TMEM255B	13:114459215-114514917
TMEM255A	X:119402046-119448390
ST5	11:8715538-8932685
ST7	7:116590380-116870222
ZNF304	19:57859673-57869291
STH	17:44073615-44077613
ZNF302	19:35165620-35176552
ZNF300	5:150274935-150287544
AC016725.4	2:135494196-135521270
STS	X:7134495-7268360
HOXB13	17:46802123-46809110
IFT81	12:110559139-110656090
TOMM34	20:43567769-43592113
PPP3CA	4:101947001-102271627
PPP3CB	10:75193184-75253974
PPP3CC	8:22295482-22398415
RP11-259K5.1	3:37259019-37259235
LIF	22:30634004-30645795
GPATCH8	17:42474877-42583797
IQCJ-SCHIP1	3:158784040-159610120
IFT88	13:21138207-21265380
RP4-535B20.1	1:65534178-65535125
GPATCH2	1:217604445-217804664
CTD-2270L9.4	16:23467501-23467511
ADRA2A	10:112833789-112839796
ADRA2B	2:96775744-96784887
RPL19	17:37353593-37360498
TEX26	13:31506765-31549167
RP11-89K21.1	2:45160126-45165168
TEX22	14:105861919-105883195
AC117444.1	3:96386691-96387202
TEX28	X:153499044-153523563
TEX29	13:111970014-111996611
PCYT1B	X:24580130-24690796
SYT8	11:1846341-1858421
SYT9	11:7270180-7488155
MTCH2	11:47640283-47667174
MTCH1	6:36936471-36956948
SYT1	12:79279209-79848560
SYT2	1:202565864-202682544
SYT3	19:51125880-51162200
SYT4	18:40850246-40860614
SYT5	19:55684936-55692613
SYT6	1:114640306-114699471
SYT7	11:61286076-61351343
TIAL1	10:121335072-121359540
IGKV1-12	2:89339538-89340429
RP11-96O20.2	15:45848049-45848223
FUBP1	1:78414427-78447769
IGKV1-16	2:89399194-89400061
IGKV1-17	2:89416665-89417540
RP11-96O20.4	15:45914428-45968511
SCHIP1	3:159614439-159614666
CTD-2281E23.2	8:1208772-1208908
MARCO	2:119696744-119750944
SAP30	4:174289092-174298566
PER2	2:239149677-239200206
HSFX2	X:148674168-148678213
HSFX1	X:148852725-148860598
DRC1	2:26624845-26681175
RP11-368J21.3	16:22558191-22588088
RP11-17M15.2	16:32300971-32301153
RP11-17M15.1	16:32198308-32198415
C1orf53	1:197876224-197876442
C1orf52	1:85718232-85725246
C1orf51	1:150253327-150259391
C1orf50	1:43231756-43263850
C1orf56	1:151020076-151021380
C1orf54	1:150240610-150253326
MARC1	1:220958150-220986829
MARC2	1:220918675-220958149
RP11-561P12.5	12:8717398-8717560
RN7SL696P	12:79918086-79918440
APCDD1L-AS1	20:57117235-57186505
SMPD4	2:130910626-130936827
SMPD1	11:6408653-6417514
SMPD3	16:68394971-68485408
SMPD2	6:109761984-109765121
BRIP1	17:59760604-59941607
PDE11A	2:178494085-178970542
RP11-174J11.1	10:65793521-65793902
TTC28	22:28372625-29078852
TTC29	4:147710838-147870033
TTC24	1:156546518-156555865
TTC25	17:40083907-40113538
TTC26	7:138815489-138874253
TTC27	2:32850127-33046030
PATL2	15:44954928-44972085
TTC22	1:55248072-55269939
PATL1	11:59405789-59439452
RP11-345M22.1	16:79802429-79802569
RP11-433J8.1	14:97059077-97060035
ENO1	1:8922951-8941748
NPY2R	4:156126780-156136323
ENO3	17:4851412-4860393
ENO4	10:118606022-118671297
AC097499.1	2:126490578-126490864
RP11-171N4.2	4:157555787-157563544
AC215219.1	12:73044-73409
OIP5-AS1	15:41581855-41582094
RP11-306G20.1	7:129595789-129650428
RP11-893F2.5	17:48287696-48294287
RP11-893F2.9	17:48367347-48367813
CBX3P4	12:2901107-2901116
CFD	19:856664-864049
RP11-259G18.1	17:44341763-44346171
OBSCN	1:228395830-228566603
SRRD	22:26879886-26890349
RP11-1099M24.7	17:7832753-7833938
MCL1	1:150549733-150555065
SORBS1	10:97074740-97319589
SORBS3	8:22406250-22433641
SORBS2	4:186508663-186860978
ODC1	2:10580792-10591452
IL18RAP	2:103032253-103068680
EOMES	3:27756584-27766784
MIR873	9:28888788-28889019
AP006285.6	11:1712388-1712794
MIR876	9:28863531-28863812
PDSS2	6:107475762-107783767
PDSS1	10:26983586-27037771
MIR3672	X:120504777-120504974
FKBP14	7:30054280-30069267
FKBP15	9:115930685-115980839
UBE2J1	6:90039331-90065566
UBE2J2	1:1186392-1212233
FKBP11	12:49314649-49322293
FBXO10	9:37512484-37576249
FBXO11	2:48035256-48135931
FBXO16	8:28286039-28350794
FBXO17	19:39433161-39453951
FBXO15	18:71740618-71807659
TRBJ2-6	7:142494048-142495283
SFTA3	14:36942916-36984294
SFTA2	6:30897352-30902951
RP11-429B14.1	15:90094924-90095098
RP1-148H17.1	20:46021550-46021673
RP11-429B14.4	15:90056617-90056646
CNGB1	16:57917900-58008015
SNORD42	4:83322653-83323728
CNGB3	8:87587977-87758902
BCLAF1	6:136582086-136613988
SNORD44	13:112708760-112709023
PLA2G6	22:38507500-38580760
PLA2G7	6:46669555-46706429
PLA2G5	1:20358852-20417250
PLA2G3	22:31528995-31539468
GDPGP1	15:90777039-90785359
CCDC77	12:507740-551182
KRTAP1-3	17:39190108-39194106
KRTAP1-4	17:39185947-39186460
KRTAP1-5	17:39182455-39186453
CCDC70	13:52433116-52440299
CCDC71	3:49200195-49206042
AC016831.7	7:130552123-130606564
CCDC78	16:772580-777102
CCDC79	16:66788818-66838513
HIST3H2BB	1:228642807-228646258
RP11-258C19.5	X:53145491-53173149
RP11-513G19.1	12:26484827-26485165
GHITM	10:85896194-85912164
CSHL1	17:61987033-61999197
FKBP1B	2:24273231-24286060
FKBP1C	6:63921403-63921853
FKBP1A	20:1350633-1376805
CTB-161M19.4	5:118345698-118399656
KB-1639H6.2	8:104030247-104030288
KB-1639H6.4	8:104130600-104135153
RP13-672B3.2	12:133284571-133284665
RP11-401F2.3	17:65244299-65244318
MAP10	1:232940696-232943961
RP11-318C4.2	10:124523972-124524071
LGALS9C	17:18377098-18397764
LGALS9B	17:20353241-20373847
UNC50	2:99225041-99234832
RP11-428L9.1	10:8952502-8952628
NKAIN3	8:63158500-63902861
NKAIN2	6:124122284-125144443
NKAIN1	1:31656677-31715400
RP11-624M8.1	6:125952303-125953297
MAP1A	15:43801381-43822466
MAP1B	5:71400117-71506220
IGSF9B	11:133778840-133829879
UNC5B	10:72969325-73059064
UNC5C	4:96090343-96473356
VGF	7:100806720-100811851
UNC5A	5:176234559-176306894
UNC5D	8:35089974-35648173
RP11-796G6.2	14:102197602-102198683
MAP1S	19:17827302-17845351
CCP110	16:19539151-19567729
RNU6-919P	20:48411232-48411772
ANKRD19P	9:95569339-95599891
AC009495.4	2:166671247-166671485
RP11-213G21.2	4:38567144-38567403
CTB-114C7.4	5:169733350-169742595
CTB-114C7.3	5:169763245-169763482
RPL18A	19:17967730-17974026
RP11-586K12.4	16:32753634-32753782
CLEC18A	16:69981808-69997540
CEND1	11:788057-790472
CLEC18B	16:74442842-74458289
SDR42E2	16:22177607-22192986
SDR42E1	16:82032642-82048092
AC008079.9	22:18666622-18688766
ALOX12B	17:7975979-7994020
RP11-423C15.3	9:128506616-128506621
EPB41L1	20:34678197-34817374
PPCDC	15:75312926-75406982
EPB41L3	18:5393339-5546985
EPB41L2	6:131179168-131387461
EPB41L5	2:120767603-120932510
ACSS3	12:81468808-81647495
ACSS2	20:33463663-33515082
ACSS1	20:24986005-25041817
KIDINS220	2:8866941-8980754
PCOLCE2	3:142537111-142611044
RNU1-47P	14:100413453-100413552
DFNA5	7:24738597-24805274
MAGEH1	X:55475537-55479562
WNT3	17:44845541-44899081
WNT2	7:116918099-116966342
WNT1	12:49369396-49375433
LRRN4	20:6021528-6037693
AGXT	2:241805161-241818366
LRRN2	1:204587235-204657596
LRRN1	3:3838120-3888538
WNT4	1:22446534-22472518
RNF175	4:154631438-154684386
RNF170	8:42705818-42751865
RP11-1166P10.1	16:31993387-32007193
RP11-1166P10.6	16:32046153-32099105
CTD-2545G14.7	17:7146089-7147953
PCNA	20:5095597-5107271
ZBTB7A	19:4047704-4069815
ZBTB7C	18:45555524-45915761
ZBTB7B	1:154972201-154989142
PCNP	3:101290041-101304438
PCNT	21:47743789-47865299
PCNX	14:71371121-71576867
UTY	Y:15362846-15595549
AC090044.1	3:742886-743117
PACRG	6:163148163-163736094
PCAT6	1:202781598-202781904
DNPH1	6:43196212-43200210
TOP3B	22:22310209-22340146
UFD1L	22:19438129-19463180
ILF3	19:10761936-10800069
ILF2	1:153634807-153646478
BOK	2:242495145-242511891
AC092295.7	19:37067190-37067196
BOC	3:112928374-113005737
DENND2C	1:115125467-115168674
DENND2A	7:140218435-140339238
DENND2D	1:111730730-111738706
GAGE1	X:49361430-49370712
PPT1	1:40535377-40566141
RABAC1	19:42460895-42466527
INPP4B	4:142949879-143770483
INPP4A	2:99058320-99204113
UBE2G2	21:46191228-46222529
SAFB	19:5626327-5668401
TRNP1	1:27317196-27321839
DEFB123	20:30025410-30038104
AL132819.1	14:99827367-99827673
PPP1R26	9:138368647-138380087
PPP1R21	2:48678115-48738646
NGLY1	3:25760892-25833518
AC117401.1	3:123782093-123782279
USP27X	X:49641469-49646296
RP11-418I22.2	16:9583806-9584096
RP5-1198O20.4	1:44569038-44569996
LMX1A	1:165173053-165328477
ZCCHC24	10:81139079-81208382
LMX1B	9:129373721-129458781
OR6V1	7:142746437-142750465
RP11-182J1.1	15:85174027-85177958
RP4-794H19.2	1:59278593-59282216
RP4-794H19.1	1:59347263-59352970
ABCE1	4:146019083-146048775
RP4-794H19.4	1:59492943-59493153
KCP	7:128517033-128553772
CNR1	6:88853546-88878766
GBX2	2:237071364-237079651
GBX1	7:150845624-150867866
CNR2	1:24197014-24265739
GNL3L	X:54553643-54587131
TGS1	8:56695267-56737341
ANKS1B	12:99126198-100381048
ANKS1A	6:34855866-35056439
RP11-67H24.2	16:32821463-32822464
ADAM10	15:58884939-59045176
ADAM11	17:42833567-42861916
ADAM12	10:127697948-128080023
ADAM15	1:155026672-155030936
ADAM17	2:9630249-9698916
ADAM18	8:39439095-39587546
ADAM19	5:156849674-157005782
AL355149.1	1:16875128-16877714
AL355149.2	1:16862559-16866139
MEPE	4:88751120-88770968
HAGH	16:1859144-1880157
TRBV20-1	7:142334126-142334992
G3BP1	5:151151470-151183731
OPALIN	10:98105669-98122058
AC002398.9	19:36237911-36239260
NDEL1	17:8336178-8370603
SHANK3	22:51109841-51169765
SHANK2	11:70318928-70858420
SHANK1	19:51165142-51223194
ADAM1A	12:112341709-112342050
PLAC8L1	5:145463947-145483994
PCSK9	1:55502219-55529326
PCSK2	20:17204596-17462785
PCSK1	5:95728643-95771983
PCSK6	15:101845383-102033186
PCSK7	11:117075075-117103450
PCSK4	19:1482215-1491163
PCSK5	9:78502559-78973917
RP11-323J4.1	4:99179526-99179565
RP11-638I2.4	14:100687970-100702319
RP11-466C23.4	11:63532403-63539112
MAEA	4:1280671-1332985
RP11-204E4.3	16:20221012-20221287
TC2N	14:92249354-92305848
IFNAR1	21:34694213-34734188
PLTP	20:44527523-44543793
C11orf1	11:111746657-111754680
SETBP1	18:42257862-42643804
RN7SL232P	10:12306537-12306776
SAMSN1	21:15854547-15954796
FAM151B	5:79794211-79837738
FAM151A	1:55075323-55092199
PAXIP1	7:154735636-154797681
VPRBP	3:51440542-51517865
USE1	19:17324093-17331173
CNRIP1	2:68511998-68546446
APBB2	4:40818035-41219634
CYP1B1-AS1	2:38340221-38409977
HNRNPA1P57	2:41383832-41384276
UFM1	13:38920986-38934976
CDC34	19:528732-542091
CDC37	19:10502147-10517208
OR2T34	1:248737015-248741057
OR2T35	1:248801508-248805558
OR2T33	1:248436072-248440115
IRAK2	3:10203562-10284019
NAMPTL	10:36811655-36813260
RP11-879F14.2	18:59257696-59257795
RP11-114H23.1	12:75955853-76376263
PROSER2-AS1	10:11917829-11937569
